Rank,Points,Name,Age,M/F,Stance,Country,Style
30,"14,956",Haylie Powell,18,F,Regular,AUS,Street
31,"14,147",Vareeraya Sukasem,13,F,Goofy,THA,Street
32,"12,777",Lore Bruggeman,22,F,Goofy,BEL,Street
33,"12,249",Laura Zackova,14,F,Regular,CAN,Street
34,"11,332",Niko Sugimoto,16,F,Goofy,JPN,Street
35,"11,207",Jérômine Louvet,22,F,Goofy,FRA,Street
36,"10,038",Candy Jacobs,34,F,Goofy,NED,Street
37,"10,033",Yan Zhang,16,F,Goofy,CHN,Street
38,"9,832",Kemily Suiara,23,F,Goofy,BRA,Street
39,"9,313",Valentina Petric,23,F,Regular,CHI,Street
40,"9,054",Jessica Ready,14,F,Regular,NZL,Street
41,"8,810",Isabelly Avila,20,F,Goofy,BRA,Street
42,"8,425",Felicity Turner,17,F,Goofy,AUS,Street
43,"8,136",Mariah Duran,27,F,Goofy,USA,Street
44,"7,390",Weronika Choromanska,18,F,Goofy,POL,Street
45,"6,770",Esmeralda Butler Cantellops,11,F,Goofy,PUR,Street
46,"6,690",Nonoka Nakajima,15,F,Regular,JPN,Street
47,"6,527",Valentina Krauel,15,F,Regular,ESP,Street
48,"5,962",Cerise Michaud,17,F,Goofy,FRA,Street
49,"5,588",Junyi Lan,19,F,Goofy,CHN,Street
50,"5,484",Selma Pettersen,17,F,Regular,NOR,Street
1,"160,000",Cocona Hiraki,16,F,Regular,JPN,Park
2,"157,520",Raicca Ventura,17,F,Goofy,BRA,Park
3,"156,900",Hinano Kusaki,16,F,Regular,JPN,Park
4,"143,568",Naia Laso,16,F,Regular,ESP,Park
5,"128,900",Arisa Trew,14,F,Regular,AUS,Park
6,"102,068",Mizuho Hasegawa,14,F,Regular,JPN,Park
7,"90,000",Sky Brown,16,F,Regular,GBR,Park
8,"83,433",Sakura Yosozumi,22,F,Regular,JPN,Park
9,"79,651",Ruby Trew,15,F,Goofy,AUS,Park
10,"70,958",Minna Stess,18,F,Regular,USA,Park
11,"64,309",Mei Sugawara,17,F,Regular,JPN,Park
12,"62,318",Dora Varella,23,F,Regular,BRA,Park
13,"58,339",Bryce Wettstein,20,F,Regular,USA,Park
14,"57,070",Ruby Lilley,17,F,Goofy,USA,Park
15,"51,503",Lilly Stoephasius,17,F,Regular,GER,Park
16,"50,104",Isadora Pacheco,19,F,Regular,BRA,Park
17,"40,000",Nana Taboulet,15,F,Goofy,FRA,Park
18,"36,054",Asahi Kaihara,18,F,Regular,JPN,Park
19,"34,396",Lilly Strachan,17,F,Goofy,GBR,Park
20,"33,853",Lola Tambling,16,F,Goofy,GBR,Park
21,"30,925",Yndiara Asp,27,F,Goofy,BRA,Park
